x,y,name,type,year,date,elev,source,original_x,original_y
-121.329501,48.552197,Lookout Mountain,peak,sophomore,21-Mar-17,5699,peakbagger,,
-120.584101,48.56336,Burgundy Spire,peak,senior,8-Jul-18,8400,peakbagger,-120.590901,48.55336
-120.617903,48.553404,Paisano Pinnacle,peak,senior,8-Jul-18,8000,peakbagger,-120.591903,48.553404
-121.520625,48.662675,Bacon Peak,attempt,senior,2-Sep-18,5400,peakbagger,,
-121.109516,48.742784,Sourdough Mountain,peak,freshman,18-Sep-15,5985,peakbagger,,
-121.814467,48.776797,Mount Baker,peak,sophomore,27-Jul-16,10781,peakbagger,,
-121.602849,48.831284,Mount Shuksan,peak,junior,13-Aug-17,9131,peakbagger,,
-121.34225,48.836419,Mount Challenger,attempt,junior,10-Jun-18,8207 ,tracy,,
-121.6923,48.8467,Artist Point,hiking,junior,31-Dec-17,5700,facebook,,
-121.420209,48.859485,Easy Peak,peak,junior,11-Jun-18,6613,peakbagger,,
-121.64312,48.956628,Winchester Mountain,peak,freshman,21-May-16,6510,peakbagger,,
-122.903856,47.15527,Boston Harbor,kayaking,freshman,1-Nov-15,,kate,,
-122.173267,46.242195,Pumice Plain,hiking,sophomore,1-Aug-16,,kate,,
-122.694864,47.082683,Nisqually Wildlife Refuge,hiking,senior,1-Jan-19,,kate,,
